"ID";"RegioS";"Perioden";"TotaalRecreatieterrein_19";"TotaalBosEnOpenNatuurlijkTerrein_28"
"47";"PV20  ";"2015JJ00";"    4009";"   14910"
"55";"PV21  ";"2015JJ00";"    5458";"   41177"
"63";"PV22  ";"2015JJ00";"    5648";"   46975"
"71";"PV23  ";"2015JJ00";"    7346";"   46534"
"79";"PV24  ";"2015JJ00";"    4758";"   23056"
"87";"PV25  ";"2015JJ00";"   13909";"  115427"
"95";"PV26  ";"2015JJ00";"    5695";"   20971"
"103";"PV27  ";"2015JJ00";"   15003";"   31258"
"111";"PV28  ";"2015JJ00";"   17037";"   23134"
"119";"PV29  ";"2015JJ00";"    4826";"   14251"
"127";"PV30  ";"2015JJ00";"   14428";"   85312"
"135";"PV31  ";"2015JJ00";"    7302";"   35951"
